fecha,titulo,descripcion
2024-01-15,Evento Ejemplo 1,Descripción del primer evento
2024-06-30,Evento Ejemplo 2,Descripción del segundo evento
2024-12-25,Evento Ejemplo 3,Descripción del tercer evento
2022-03-15,Inicio Proyecto Alpha,Lanzamiento oficial del proyecto con reunión de kickoff y definición de alcances
2022-07-20,Aprobación Presupuesto Q3,Aprobación del presupuesto adicional para la segunda fase del proyecto
2022-11-10,Finalización Fase 1,Completada la primera fase con entregables principales cumplidos
2023-09-15,Milestone Técnico Mayor,Alcanzado 50% de progreso en desarrollo de sistema principal
2024-01-20,Pruebas Piloto Fase A,Inicio de pruebas piloto con usuarios beta seleccionados
2024-11-30,Evaluación Anual Proyecto,Revisión integral de avances y ajustes para el año siguiente
2025-03-01,Inicio Fase Expansión,Lanzamiento de la fase de expansión a mercados regionales
2025-07-15,Integración Sistemas,Integración completa de todos los subsistemas desarrollados
2025-10-20,Certificación Internacional,Obtención de certificaciones ISO y estándares internacionales
2026-02-14,Lanzamiento Comercial,Lanzamiento oficial del producto/servicio al mercado masivo
2027-01-10,Expansión Internacional,Inicio de operaciones en mercados internacionales
2027-11-30,Cierre Administrativo,Cierre administrativo final y documentación de lecciones aprendidas
2027-03-12,TEST 1,detalles del test 1
2027-03-12,TEST 2,detalles del test 1
2025-10-23,TEST 3,detalles del test 1
2025-05-15,Test 4,aaaaa
